Location;FPC;Forecasted Date;Weeks;Final Fcst Qty
2621;83732410;2018-01-01;2018-01-07;2074,359577
2621;83732410;2018-01-01;2018-01-14;2038,967639
2621;83732410;2018-01-01;2018-01-21;1260,96496
2621;83732410;2018-01-01;2018-01-28;1630,780046
2621;83732410;2018-01-01;2018-02-04;1997,971628
2621;83732410;2018-01-01;2018-02-11;1024,76991
2621;83732410;2018-01-01;2018-02-18;1766,86079
2621;83732410;2018-01-01;2018-02-25;1121,189406
2621;83732410;2018-01-01;2018-03-04;1257,45665
2621;83732410;2018-01-01;2018-03-11;1004,553476
2621;83732410;2018-01-01;2018-03-18;2131,935128
2621;83732410;2018-01-01;2018-03-25;1854,788966
2621;83732410;2018-01-01;2018-04-01;1050,094838
2621;83732410;2018-01-01;2018-04-08;1525,641183
2621;83732410;2018-01-01;2018-04-15;1445,433122
2621;83732410;2018-01-01;2018-04-22;1579,734795
2621;83732410;2018-01-01;2018-04-29;1444,610912
2621;83732410;2018-01-01;2018-05-06;1887,089378
2621;83732410;2018-01-01;2018-05-13;1924,42781
2621;83732410;2018-01-01;2018-05-20;1892,84035
2621;83732410;2018-01-01;2018-05-27;1744,41955
2621;83732410;2018-01-01;2018-06-03;1819,293161
2621;83732410;2018-01-01;2018-06-10;1238,298101
2621;83732410;2018-01-01;2018-06-17;1506,782037
2621;83732410;2018-01-01;2018-06-24;1211,220285
2621;83732410;2018-01-01;2018-07-01;1340,555177
2621;83732410;2018-01-08;2018-01-14;1655,521813
2621;83732410;2018-01-08;2018-01-21;1998,537687
2621;83732410;2018-01-08;2018-01-28;1884,357689
2621;83732410;2018-01-08;2018-02-04;1815,102462
2621;83732410;2018-01-08;2018-02-11;1664,443611
2621;83732410;2018-01-08;2018-02-18;1132,998804
2621;83732410;2018-01-08;2018-02-25;1337,330697
2621;83732410;2018-01-08;2018-03-04;1309,177602
2621;83732410;2018-01-08;2018-03-11;2094,421481
2621;83732410;2018-01-08;2018-03-18;1880,072296
2621;83732410;2018-01-08;2018-03-25;2003,082665
2621;83732410;2018-01-08;2018-04-01;1032,249688
2621;83732410;2018-01-08;2018-04-08;1186,934363
2621;83732410;2018-01-08;2018-04-15;1811,429675
2621;83732410;2018-01-08;2018-04-22;1553,485073
2621;83732410;2018-01-08;2018-04-29;2071,47077
2621;83732410;2018-01-08;2018-05-06;1717,850473
2621;83732410;2018-01-08;2018-05-13;1307,916009
2621;83732410;2018-01-08;2018-05-20;2046,109269
2621;83732410;2018-01-08;2018-05-27;1823,578767
2621;83732410;2018-01-08;2018-06-03;1341,066143
2621;83732410;2018-01-08;2018-06-10;1006,462153
2621;83732410;2018-01-08;2018-06-17;1760,819186
2621;83732410;2018-01-08;2018-06-24;1743,024679
2621;83732410;2018-01-08;2018-07-01;1740,595307
2621;83732410;2018-01-15;2018-01-21;1474,849932
2621;83732410;2018-01-15;2018-01-28;1039,391564
2621;83732410;2018-01-15;2018-02-04;1242,121878
2621;83732410;2018-01-15;2018-02-11;2124,713049
