Location;FPC;Forecasted Date;Weeks;Final Fcst Qty
2621;83732410;2018-01-01;2018-01-07;1536,784649
2621;83732410;2018-01-01;2018-01-14;1594,362833
2621;83732410;2018-01-01;2018-01-21;2143,309748
2621;83732410;2018-01-01;2018-01-28;2158,852673
2621;83732410;2018-01-01;2018-02-04;1438,841185
2621;83732410;2018-01-01;2018-02-11;1425,166376
2621;83732410;2018-01-01;2018-02-18;2169,132005
2621;83732410;2018-01-01;2018-02-25;1751,244867
2621;83732410;2018-01-01;2018-03-04;1571,545161
2621;83732410;2018-01-01;2018-03-11;1952,194262
2621;83732410;2018-01-01;2018-03-18;1998,799297
2621;83732410;2018-01-01;2018-03-25;1066,5786
2621;83732410;2018-01-01;2018-04-01;1694,435855
2621;83732410;2018-01-01;2018-04-08;1083,066576
2621;83732410;2018-01-01;2018-04-15;1221,254717
2621;83732410;2018-01-01;2018-04-22;1103,232984
2621;83732410;2018-01-01;2018-04-29;1435,272397
2621;83732410;2018-01-01;2018-05-06;1151,692467
2621;83732410;2018-01-01;2018-05-13;1691,826095
2621;83732410;2018-01-01;2018-05-20;1543,072496
2621;83732410;2018-01-01;2018-05-27;1484,630009
2621;83732410;2018-01-01;2018-06-03;2128,314738
2621;83732410;2018-01-01;2018-06-10;1713,693362
2621;83732410;2018-01-01;2018-06-17;2147,025477
2621;83732410;2018-01-01;2018-06-24;2170,734247
2621;83732410;2018-01-01;2018-07-01;2120,711557
2621;83732410;2018-01-08;2018-01-14;1214,659408
2621;83732410;2018-01-08;2018-01-21;1701,407655
2621;83732410;2018-01-08;2018-01-28;1698,840014
2621;83732410;2018-01-08;2018-02-04;1362,46426
2621;83732410;2018-01-08;2018-02-11;1671,682905
2621;83732410;2018-01-08;2018-02-18;1557,92603
2621;83732410;2018-01-08;2018-02-25;2184,874929
2621;83732410;2018-01-08;2018-03-04;2192,455652
2621;83732410;2018-01-08;2018-03-11;1417,673737
2621;83732410;2018-01-08;2018-03-18;1639,204047
2621;83732410;2018-01-08;2018-03-25;1859,304492
2621;83732410;2018-01-08;2018-04-01;1771,565691
2621;83732410;2018-01-08;2018-04-08;1967,645528
2621;83732410;2018-01-08;2018-04-15;1636,860331
2621;83732410;2018-01-08;2018-04-22;1778,903155
2621;83732410;2018-01-08;2018-04-29;1799,148301
2621;83732410;2018-01-08;2018-05-06;1749,162842
2621;83732410;2018-01-08;2018-05-13;1679,13728
2621;83732410;2018-01-08;2018-05-20;1062,69717
2621;83732410;2018-01-08;2018-05-27;1570,702653
2621;83732410;2018-01-08;2018-06-03;1570,998658
2621;83732410;2018-01-08;2018-06-10;1243,054007
2621;83732410;2018-01-08;2018-06-17;1127,397167
2621;83732410;2018-01-08;2018-06-24;1653,816465
2621;83732410;2018-01-08;2018-07-01;2011,340141
2621;83732410;2018-01-15;2018-01-21;1201,878031
2621;83732410;2018-01-15;2018-01-28;1965,362205
2621;83732410;2018-01-15;2018-02-04;1635,384053
2621;83732410;2018-01-15;2018-02-11;1674,392514
2621;83732410;2018-01-15;2018-02-18;1002,207641
2621;83732410;2018-01-15;2018-02-25;2198,640148
2621;83732410;2018-01-15;2018-03-04;1387,163676
2621;83732410;2018-01-15;2018-03-11;1062,741473
2621;83732410;2018-01-15;2018-03-18;1694,108388
2621;83732410;2018-01-15;2018-03-25;2076,628366
2621;83732410;2018-01-15;2018-04-01;1961,701508
2621;83732410;2018-01-15;2018-04-08;1566,964504
2621;83732410;2018-01-15;2018-04-15;1556,944808
2621;83732410;2018-01-15;2018-04-22;2036,833199
2621;83732410;2018-01-15;2018-04-29;2097,13221
2621;83732410;2018-01-15;2018-05-06;2005,94723
2621;83732410;2018-01-15;2018-05-13;2103,212548
2621;83732410;2018-01-15;2018-05-20;1110,555249
2621;83732410;2018-01-15;2018-05-27;1183,050288
2621;83732410;2018-01-15;2018-06-03;1662,468583
2621;83732410;2018-01-15;2018-06-10;1110,972126
2621;83732410;2018-01-15;2018-06-17;1180,459644
2621;83732410;2018-01-15;2018-06-24;1049,053364
2621;83732410;2018-01-15;2018-07-01;1093,133381
2621;83732410;2018-01-22;2018-01-28;1207,842402
2621;83732410;2018-01-22;2018-02-04;1114,102615
2621;83732410;2018-01-22;2018-02-11;1819,65516
2621;83732410;2018-01-22;2018-02-18;2074,939472
2621;83732410;2018-01-22;2018-02-25;1063,634394
2621;83732410;2018-01-22;2018-03-04;1079,489144
2621;83732410;2018-01-22;2018-03-11;1283,27626
2621;83732410;2018-01-22;2018-03-18;2077,932141
2621;83732410;2018-01-22;2018-03-25;1396,105839
2621;83732410;2018-01-22;2018-04-01;2058,496573
2621;83732410;2018-01-22;2018-04-08;1400,096163
