Location;Product;Date;Customer;Quantity
2621;83732410;2018-01-01;ADNAN ANTEP;69,12
2621;83732410;2018-01-02;ADNAN TIC.PAZ. AS-MALATYA;47,36
2621;83732410;2018-01-03;ADNAN TIC.PAZ. AS-MERSIN;360
2621;83732410;2018-01-04;AYKANLAR IZMIR YENI;72,32
2621;83732410;2018-01-05;AYKANLAR KOZMETIK TICARET VE P;23,04
2621;83732410;2018-01-06;AYKANLAR-HPK;360
2621;83732410;2018-01-07;AYKANLAR-OZM;128
2621;83732410;2018-01-08;CARREFOUR A.S.(ANTALYA).DEPO-1;120
2621;83732410;2018-01-09;CARREFOUR A.S.(GEBZE).DEPO-1;256
2621;83732410;2018-01-10;ECZACIBASI-HAKAN LOJISTIK;175,36
2621;83732410;2018-01-11;HEDEF GIDA PZ. DAG SAN VE TIC;51,84
2621;83732410;2018-01-12;HEDEF GIDA PZ. DAG SAN VE TIC;280
2621;83732410;2018-01-13;HEDEF HADIMKOY;172,8
2621;83732410;2018-01-14;HEDEF-CAGRI SANCAKTEPE;248,8
2621;83732410;2018-01-15;MAKRO MARKET A.S. # UYUM (ISTA;12,8
2621;83732410;2018-01-16;MAKRO MARKET A.S.(KAYSERI);400
2621;83732410;2018-01-17;MAKRO MARKET A.S.(SAMSUN);169,6
2621;83732410;2018-01-18;METRO GROS. B.KOY.ALIS.HIZ.TIC;316,8
2621;83732410;2018-01-19;MIGROS A.S.-(GEBZE MERKEZ XDOC;72,96
2621;83732410;2018-01-20;MIGROS A.S.-(SARAY ANKARA);98,4
2621;83732410;2018-01-21;MIGROS ANTALYA SERIK DEPO;87,2
2621;83732410;2018-01-22;MIGROS AS-(PINARBASI) (TANSAS);42,88
2621;83732410;2018-01-23;MIGROS ERZURUM DEPO;364,8
2621;83732410;2018-01-24;MIGROS ESENYURT DAG.MERK.;29,44
2621;83732410;2018-01-25;MIGROS MUGLA MERKEZ DEPO;224
2621;83732410;2018-01-26;MIGROS T.A.S.-ADANA;256
2621;83732410;2018-01-27;OZGUN GIDA KOZMETIK VE DAG. AS;78,72
